model,seed,snr,accuracy,macro_f1,checkpoint,protocol
foh,42,clean,0.873373,0.867914,checkpoints/backbone_seed42.pth,available local 80/20 runner; test-side model selection
foh,42,30,0.695266,0.679034,checkpoints/backbone_seed42.pth,available local 80/20 runner; test-side model selection
foh,42,20,0.550592,0.504119,checkpoints/backbone_seed42.pth,available local 80/20 runner; test-side model selection
foh,42,10,0.478107,0.423189,checkpoints/backbone_seed42.pth,available local 80/20 runner; test-side model selection
foh,42,5,0.435503,0.375764,checkpoints/backbone_seed42.pth,available local 80/20 runner; test-side model selection
foh,42,0,0.383432,0.311635,checkpoints/backbone_seed42.pth,available local 80/20 runner; test-side model selection
foh,123,clean,0.876923,0.869738,checkpoints/backbone_seed123.pth,available local 80/20 runner; test-side model selection
foh,123,30,0.679586,0.667564,checkpoints/backbone_seed123.pth,available local 80/20 runner; test-side model selection
foh,123,20,0.493195,0.457954,checkpoints/backbone_seed123.pth,available local 80/20 runner; test-side model selection
foh,123,10,0.424852,0.393909,checkpoints/backbone_seed123.pth,available local 80/20 runner; test-side model selection
foh,123,5,0.394083,0.36675,checkpoints/backbone_seed123.pth,available local 80/20 runner; test-side model selection
foh,123,0,0.376923,0.350371,checkpoints/backbone_seed123.pth,available local 80/20 runner; test-side model selection
foh,456,clean,0.871006,0.864887,checkpoints/backbone_seed456.pth,available local 80/20 runner; test-side model selection
foh,456,30,0.691124,0.680417,checkpoints/backbone_seed456.pth,available local 80/20 runner; test-side model selection
foh,456,20,0.545562,0.512208,checkpoints/backbone_seed456.pth,available local 80/20 runner; test-side model selection
foh,456,10,0.477219,0.438775,checkpoints/backbone_seed456.pth,available local 80/20 runner; test-side model selection
foh,456,5,0.439349,0.399373,checkpoints/backbone_seed456.pth,available local 80/20 runner; test-side model selection
foh,456,0,0.381065,0.328028,checkpoints/backbone_seed456.pth,available local 80/20 runner; test-side model selection
dn_foh,42,clean,0.890828,0.886003,checkpoints/full_seed42.pth,available local 80/20 runner; test-side model selection
dn_foh,42,30,0.886982,0.88244,checkpoints/full_seed42.pth,available local 80/20 runner; test-side model selection
dn_foh,42,20,0.888166,0.88354,checkpoints/full_seed42.pth,available local 80/20 runner; test-side model selection
dn_foh,42,10,0.878107,0.874473,checkpoints/full_seed42.pth,available local 80/20 runner; test-side model selection
dn_foh,42,5,0.860651,0.856318,checkpoints/full_seed42.pth,available local 80/20 runner; test-side model selection
dn_foh,42,0,0.807692,0.802389,checkpoints/full_seed42.pth,available local 80/20 runner; test-side model selection
dn_foh,123,clean,0.893787,0.8898,checkpoints/full_seed123.pth,available local 80/20 runner; test-side model selection
dn_foh,123,30,0.888462,0.884523,checkpoints/full_seed123.pth,available local 80/20 runner; test-side model selection
dn_foh,123,20,0.891716,0.887203,checkpoints/full_seed123.pth,available local 80/20 runner; test-side model selection
dn_foh,123,10,0.870118,0.867308,checkpoints/full_seed123.pth,available local 80/20 runner; test-side model selection
dn_foh,123,5,0.868047,0.86452,checkpoints/full_seed123.pth,available local 80/20 runner; test-side model selection
dn_foh,123,0,0.812426,0.806913,checkpoints/full_seed123.pth,available local 80/20 runner; test-side model selection
dn_foh,456,clean,0.881361,0.877432,checkpoints/full_seed456.pth,available local 80/20 runner; test-side model selection
dn_foh,456,30,0.87929,0.875573,checkpoints/full_seed456.pth,available local 80/20 runner; test-side model selection
dn_foh,456,20,0.881361,0.878017,checkpoints/full_seed456.pth,available local 80/20 runner; test-side model selection
dn_foh,456,10,0.861243,0.858069,checkpoints/full_seed456.pth,available local 80/20 runner; test-side model selection
dn_foh,456,5,0.847929,0.845625,checkpoints/full_seed456.pth,available local 80/20 runner; test-side model selection
dn_foh,456,0,0.795562,0.793393,checkpoints/full_seed456.pth,available local 80/20 runner; test-side model selection
