index,sample_id,class_id,label,recording_id,split,protocol,split_seed
0,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_original_denoised_seg000.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
1,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_original_denoised_seg001.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
2,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_original_denoised_seg002.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
3,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_original_denoised_seg003.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
4,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_original_denoised_seg004.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
5,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_original_denoised_seg005.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
6,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_original_denoised_seg006.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
7,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_original_denoised_seg007.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
8,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_original_denoised_seg008.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
9,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_original_denoised_seg009.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
10,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_original_denoised_seg010.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
11,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_original_denoised_seg011.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
12,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_original_denoised_seg012.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
13,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_original_denoised_seg013.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
14,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_original_denoised_seg014.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
15,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_original_denoised_seg015.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
16,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_original_denoised_seg016.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
17,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_original_denoised_seg017.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
18,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_original_denoised_seg018.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
19,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_original_denoised_seg019.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
20,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_original_denoised_seg020.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
21,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_original_denoised_seg021.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
22,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_original_denoised_seg022.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
23,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_original_denoised_seg023.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
24,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_original_denoised_seg024.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
25,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_original_denoised_seg025.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
26,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_original_denoised_seg026.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
27,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_original_denoised_seg027.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
28,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_original_denoised_seg028.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
29,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_original_denoised_seg029.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
30,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_original_denoised_seg030.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
31,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_original_denoised_seg031.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
32,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_original_denoised_seg032.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
33,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_pitch_denoised_seg000.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
34,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_pitch_denoised_seg001.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
35,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_pitch_denoised_seg002.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
36,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_pitch_denoised_seg003.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
37,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_pitch_denoised_seg004.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
38,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_pitch_denoised_seg005.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
39,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_pitch_denoised_seg006.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
40,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_pitch_denoised_seg007.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
41,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_pitch_denoised_seg008.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
42,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_pitch_denoised_seg009.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
43,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_pitch_denoised_seg010.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
44,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_pitch_denoised_seg011.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
45,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_pitch_denoised_seg012.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
46,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_pitch_denoised_seg013.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
47,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_pitch_denoised_seg014.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
48,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_pitch_denoised_seg015.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
49,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_pitch_denoised_seg016.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
50,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_pitch_denoised_seg017.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
51,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_pitch_denoised_seg018.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
52,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_pitch_denoised_seg019.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
53,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_pitch_denoised_seg020.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
54,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_pitch_denoised_seg021.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
55,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_pitch_denoised_seg022.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
56,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_pitch_denoised_seg023.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
57,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_pitch_denoised_seg024.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
58,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_pitch_denoised_seg025.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
59,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_pitch_denoised_seg026.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
60,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_pitch_denoised_seg027.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
61,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_pitch_denoised_seg028.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
62,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_pitch_denoised_seg029.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
63,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_pitch_denoised_seg030.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
64,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_pitch_denoised_seg031.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
65,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_pitch_denoised_seg032.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
66,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_random_noise_denoised_seg000.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
67,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_random_noise_denoised_seg001.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
68,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_random_noise_denoised_seg002.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
69,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_random_noise_denoised_seg003.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
70,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_random_noise_denoised_seg004.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
71,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_random_noise_denoised_seg005.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
72,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_random_noise_denoised_seg006.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
73,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_random_noise_denoised_seg007.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
74,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_random_noise_denoised_seg008.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
75,A/vo3x3_32k_15__10_07_13_radaUno_Pasa_random_noise_denoised_seg009.mat,A,0,vo3x3_32k_15__10_07_13_radaUno_Pasa,train,recording_80_20,123
